Skill,Sources
Innovation Strategy,Book: Blue Ocean Strategy; Course: Digital Transformation Strategy (Coursera); Course: Business Innovation (Udemy); Doc: MIT Sloan Management Review; YouTube: Strategyzer
Instructional Design (ADDIE),Book: Design for How People Learn; Course: Instructional Design Foundations (Coursera); Course: e-Learning Design (Udemy); Doc: Association for Talent Development (ATD); YouTube: Devlin Peck
Integrated Circuits,Book: Microelectronic Circuits (Sedra/Smith); Course: VLSI Design (Coursera); Course: CMOS Analog IC Design (edX); Doc: IEEE Solid-State Circuits Society; YouTube: Asianometry
Interior Lighting/Acoustics,Book: Architectural Lighting Design; Course: Lighting Design Specialization (Coursera); Course: Acoustics for Interior Design (Udemy); Doc: IES Lighting Library; YouTube: Balkan Architect
International Trade Law,Book: International Trade Law (Carr & Stone); Course: International Business Law (Coursera); Course: Trade Law and Policy (edX); Doc: WTO Legal Texts; YouTube: Legal Eagle
Interoperability,Book: Principles of Health Interoperability; Course: Interoperability in Healthcare (Coursera); Course: API Design for Interoperability (Udemy); Doc: HL7 FHIR Documentation; YouTube: Health IT with Dave
Inventory Control,Book: Essentials of Inventory Management; Course: Supply Chain Management (Coursera); Course: Inventory Management and Control (Udemy); Doc: ASCM (APICS) Resources; YouTube: Logistics of Logistics
Inventory Logistics,Book: Logistics and Supply Chain Management; Course: Logistics and Operations (Coursera); Course: Warehouse Management (Udemy); Doc: Council of Supply Chain Management Professionals; YouTube: The Logistics of Logistics
Inventory Strategy,Book: Inventory Strategy: Maximizing Profit; Course: Operations Management (Coursera); Course: Strategic Sourcing (Udemy); Doc: Investopedia - Inventory Management; YouTube: Supply Chain Now
IoT Integration,Book: Building the Internet of Things; Course: IoT Programming with Raspberry Pi (Udemy); Course: Industrial IoT (Coursera); Doc: Azure IoT Central Documentation; YouTube: Engineering Mindset
IoT Protocols,Book: IoT Fundamentals: Networking Technologies; Course: Introduction to IoT (Coursera); Course: IoT Protocols and Standards (Udemy); Doc: Eclipse Foundation IoT Docs; YouTube: Computerphile
IoT Protocols (Zigbee),Book: Zigbee Wireless Networking; Course: Zigbee and Bluetooth Development (Udemy); Course: Wireless Networking (Coursera); Doc: Connectivity Standards Alliance (CSA); YouTube: Digi International
IoT Security,Book: IoT Security: Challenges and Solutions; Course: Cybersecurity for IoT (Coursera); Course: IoT Hacking and Security (Udemy); Doc: OWASP IoT Security Project; YouTube: SANS Institute
Irrigation Design,Book: Turfgrass Soil Management & Irrigation; Course: Irrigation Design & Installation (Udemy); Course: Water Resource Management (Coursera); Doc: Irrigation Association Resources; YouTube: Rain Bird Education
Java,Book: Effective Java; Course: Java Programming and Software Engineering (Coursera); Course: Java Masterclass (Udemy); Doc: Oracle Java Documentation; YouTube: Programming with Mosh
Java/C#/Python,Book: Clean Code; Course: Object-Oriented Programming (Coursera); Course: Software Development Fundamentals (Udemy); Doc: Microsoft Learn / Python.org; YouTube: Derek Banas
JavaScript,Book: Eloquent JavaScript; Course: JavaScript Algorithms and Data Structures (freeCodeCamp); Course: The Complete JavaScript Course (Udemy); Doc: MDN Web Docs; YouTube: Web Dev Simplified
KPI Tracking,Book: Key Performance Indicators (Bernard Marr); Course: Business Metrics and KPIs (Coursera); Course: KPI Management (Udemy); Doc: Tableau KPI Guides; YouTube: Bernard Marr
Kinematics,Book: Engineering Mechanics: Dynamics; Course: Robotics: Kinematics and Mathematical Foundations (Coursera); Course: Classical Mechanics (edX); Doc: Khan Academy Physics; YouTube: The Efficient Engineer
Kotlin,Book: Kotlin in Action; Course: Android App Development with Kotlin (Coursera); Course: Kotlin for Java Developers (Udemy); Doc: Kotlinlang.org; YouTube: Philipp Lackner
LMS,Book: LMS Success; Course: LMS Administration (Udemy); Course: e-Learning Management (Coursera); Doc: Moodle / Canvas Documentation; YouTube: Devlin Peck
Lab Management,Book: Laboratory Management: Principles and Processes; Course: Laboratory Quality Management System (Coursera); Course: Clinical Lab Management (Udemy); Doc: WHO Laboratory Guidelines; YouTube: CDC Labs
Land Acquisition,Book: Real Estate Development; Course: Commercial Real Estate Analysis (edX); Course: Real Estate Finance (Udemy); Doc: Urban Land Institute; YouTube: Break Into CRE
Laser Physics,Book: Lasers (Siegman); Course: Laser Fundamentals (Coursera); Course: Optics and Photonics (edX); Doc: SPIE Digital Library; YouTube: Science Channel
Lead Generation,Book: Fanatical Prospecting; Course: Sales and Lead Generation (Coursera); Course: B2B Lead Generation (Udemy); Doc: HubSpot Academy; YouTube: Miles Beckler
Leak Detection,Book: Leak Detection: Technology and Implementation; Course: Water Loss Management (Udemy); Course: Environmental Monitoring (Coursera); Doc: EPA Leak Detection Methods; YouTube: The Engineering Mindset
Lean Manufacturing,Book: The Machine That Changed the World; Course: Lean Production (edX); Course: Six Sigma and Lean (Coursera); Doc: Lean Enterprise Institute; YouTube: Gemba Academy
Lean Six Sigma,Book: Lean Six Sigma Pocket Toolbook; Course: Six Sigma Yellow/Green Belt (Coursera); Course: Lean Six Sigma Masterclass (Udemy); Doc: ASQ.org; YouTube: Six Sigma Academy
Legal Approval,Book: The Legal Approval Process for Businesses; Course: Corporate Law (Coursera); Course: Contract Management (Udemy); Doc: Legal Information Institute (LII); YouTube: Legal Eagle
Legal Compliance,Book: Compliance Management; Course: Regulatory Compliance (Coursera); Course: Corporate Governance (Udemy); Doc: ISO 19600 Standards; YouTube: Compliance Week
Legal Documentation,Book: Legal Writing in Plain English; Course: Legal Drafting (Udemy); Course: Contract Law (Coursera); Doc: LexisNexis Guides; YouTube: Legal Eagle
Lens Design (Zemax),Book: Modern Optical Engineering; Course: Optical Design with Zemax OpticStudio (Udemy); Course: Applied Optics (Coursera); Doc: Zemax Knowledge Base; YouTube: Zemax Official
Lifecycle Analysis,Book: Life Cycle Assessment: Theory and Practice; Course: Sustainable Development (Coursera); Course: Environmental Impact Assessment (Udemy); Doc: ISO 14040 Standards; YouTube: Sustainability Illustrated
Lift Optimization,Book: Theory of Wing Sections; Course: Aerodynamics (MIT OCW); Course: Aircraft Performance (Coursera); Doc: NASA Glenn Research Center; YouTube: Real Engineering
Light Science,Book: Optics (Hecht); Course: Physics of Light (Coursera); Course: Photometry and Radiometry (edX); Doc: Photonics.com; YouTube: The Science Asylum
Light-Emitting Technology,Book: Solid State Lighting; Course: LED Technology and Applications (Udemy); Course: Semiconductor Physics (Coursera); Doc: Department of Energy (DOE) SSL; YouTube: Engineering Mindset
Linguistics,Book: The Study of Language (Yule); Course: Miracles of Human Language (Coursera); Course: Introduction to Linguistics (Udemy); Doc: Linguistic Society of America; YouTube: NativLang
Load Flow Analysis,Book: Power System Analysis; Course: Electric Power Systems (Coursera); Course: Load Flow Analysis with ETAP (Udemy); Doc: IEEE Power & Energy Society; YouTube: Practical Engineering
Logistical Planning,Book: Logistical Management; Course: Supply Chain Logistics (Coursera); Course: Logistics and Transportation (Udemy); Doc: Council of Supply Chain Management Professionals; YouTube: Logistics of Logistics
Logistics,Book: Business Logistics Management; Course: Global Logistics (Coursera); Course: Logistics Management (Udemy); Doc: IATA Logistics Resources; YouTube: Logistics Bureau
Logistics Planning,Book: Strategic Logistics Management; Course: Operations and Logistics (Coursera); Course: Supply Chain Planning (Udemy); Doc: Inbound Logistics Articles; YouTube: The Logistics of Logistics
Logistics Software,Book: Information Systems for Logistics; Course: WMS and TMS Systems (Udemy); Course: Digital Supply Chain (Coursera); Doc: SAP/Oracle Logistics Docs; YouTube: Supply Chain Now
MATLAB,Book: MATLAB: A Practical Introduction; Course: MATLAB Programming for Engineers (Coursera); Course: MATLAB Masterclass (Udemy); Doc: MathWorks Documentation; YouTube: Brian Douglas
Machine Learning,Book: Hands-On Machine Learning; Course: Machine Learning Specialization (Coursera); Course: Machine Learning A-Z (Udemy); Doc: Scikit-learn Documentation; YouTube: StatQuest
Machine Uptime,Book: Maintenance and Reliability Best Practices; Course: Asset Management (Coursera); Course: Total Productive Maintenance (Udemy); Doc: ISO 55000 Standards; YouTube: Reliability Web
Machinery Repair,Book: Machinery's Handbook; Course: Mechanical Repair and Maintenance (Udemy); Course: Industrial Maintenance (Coursera); Doc: SKF Technical Resources; YouTube: Abom79
Maintainability,"Book: Reliability, Maintainability and Risk; Course: Reliability Engineering (Coursera); Course: Design for Maintenance (Udemy); Doc: NASA Reliability Standards; YouTube: The Efficient Engineer"
Manufacturing Efficiency,Book: The Goal (Goldratt); Course: Operations Management (Coursera); Course: Manufacturing Process Optimization (Udemy); Doc: Lean Enterprise Institute; YouTube: Gemba Academy
Manufacturing Tooling,Book: Tool Design (Donaldson); Course: Injection Mold Design (Udemy); Course: Manufacturing Processes (Coursera); Doc: Society of Manufacturing Engineers; YouTube: Titans of CNC
Marine CAD,Book: Ship Hydrostatics and Stability; Course: Ship Design with AutoCAD (Udemy); Course: Marine Engineering Design (Coursera); Doc: Autodesk Marine Design; YouTube: Casual Navigation
Marine Engine Maintenance,Book: Reed's Marine Engineering Series; Course: Diesel Engine Maintenance (Udemy); Course: Marine Power Plants (Coursera); Doc: Wärtsilä Technical Library; YouTube: Marine Insight
Marine Engineering,Book: Introduction to Marine Engineering; Course: Marine Technology (edX); Course: Ship Stability (Udemy); Doc: IMO Regulations; YouTube: Casual Navigation
Marine Propulsion,Book: Marine Propellers and Propulsion; Course: Marine Power Cycles (Coursera); Course: Ship Propulsion Systems (Udemy); Doc: MAN Energy Solutions Docs; YouTube: Engineering Explained
Maritime Law,Book: Maritime Law (Yvonne Baatz); Course: Introduction to Maritime Law (Udemy); Course: International Trade Law (Coursera); Doc: IMO Legal Committee; YouTube: Legal Eagle
Maritime Safety,Book: Safety at Sea; Course: STCW Basic Safety Training (Udemy); Course: Maritime Risk Management (Coursera); Doc: SOLAS Conventions; YouTube: Mentour Pilot
Market Analysis,Book: Marketing Research (Burns); Course: Market Research Specialization (Coursera); Course: Market Analysis for Business (Udemy); Doc: Statista Reports; YouTube: The Strategy Institute
Market Research,Book: The Market Research Toolbox; Course: Quantitative and Qualitative Research (Coursera); Course: Consumer Behavior (Udemy); Doc: Pew Research Center; YouTube: HubSpot Academy
Master Planning,Book: The Urban Design Handbook; Course: Urban Planning and Design (edX); Course: Project Master Planning (Udemy); Doc: American Planning Association; YouTube: City Beautiful
Mastering Tools,Book: Mastering Audio (Bob Katz); Course: Audio Mastering (Coursera); Course: Mastering in the Box (Udemy); Doc: iZotope Ozone Guides; YouTube: In The Mix
Material Characterization,Book: Materials Characterization: Introduction to Microscopic Methods; Course: Scanning Electron Microscopy (Coursera); Course: Materials Science (edX); Doc: ASTM Testing Standards; YouTube: Materials Science 101
Material Discovery,Book: Materials Discovery and Design; Course: Materials Informatics (Coursera); Course: Computational Materials Science (edX); Doc: Materials Project; YouTube: Asianometry
Material Joining,Book: Welding Metallurgy; Course: Introduction to Welding (Udemy); Course: Materials Joining Processes (Coursera); Doc: American Welding Society (AWS); YouTube: Weld.com
Material Modification,Book: Surface Engineering of Metals; Course: Materials Processing (Coursera); Course: Metallurgy (Udemy); Doc: ASM International; YouTube: The Efficient Engineer
Material Performance,Book: Mechanical Behavior of Materials; Course: Materials Science and Engineering (Coursera); Course: Fatigue and Fracture (edX); Doc: ISO Material Standards; YouTube: Materials Science 101
Material Science,Book: Materials Science and Engineering: An Introduction (Callister); Course: Introduction to Materials Science (Coursera); Course: Materials Science (edX); Doc: NIST Materials Science; YouTube: The Efficient Engineer
Material Testing,Book: Mechanical Testing of Materials; Course: Tensile and Hardness Testing (Udemy); Course: Experimental Mechanics (Coursera); Doc: ISO 17025 Standards; YouTube: Test and Measurement
Mathematical Analysis,Book: Principles of Mathematical Analysis (Rudin); Course: Introduction to Mathematical Analysis (Coursera); Course: Calculus and Analysis (edX); Doc: Wolfram MathWorld; YouTube: 3Blue1Brown
Mathematical Modeling,Book: Mathematical Modeling (Meerschaert); Course: Mathematical Modeling (Coursera); Course: Simulation and Modeling (Udemy); Doc: Society for Industrial and Applied Mathematics (SIAM); YouTube: Steve Brunton
Measurement Science,Book: Introduction to Metrology; Course: Measurement and Instrumentation (Coursera); Course: Measurement Uncertainty (Udemy); Doc: BIPM (International Bureau of Weights and Measures); YouTube: NIST
Mechanical Design,Book: Shigley's Mechanical Engineering Design; Course: Mechanical Design Specialization (Coursera); Course: Mechanical Engineering Design (Udemy); Doc: Autodesk Mechanical Design; YouTube: The Efficient Engineer
Mechanical Engineering,Book: Marks' Standard Handbook for Mechanical Engineers; Course: Introduction to Mechanical Engineering (edX); Course: Mechanical Engineering Fundamentals (Udemy); Doc: ASME Standards; YouTube: Engineering Mindset
Mechanical Repair,Book: Audel Mechanical Trades Pocket Manual; Course: Mechanical Systems Maintenance (Udemy); Course: Machinery Repair (Coursera); Doc: SKF Maintenance Docs; YouTube: Abom79
Mechanical Seals,Book: Mechanical Seals (Mayer); Course: Pump and Seal Maintenance (Udemy); Course: Mechanical Systems (Coursera); Doc: Flowserve Technical Library; YouTube: The Engineering Mindset
Mechanical Troubleshooting,Book: The Art of Troubleshooting; Course: Mechanical Systems Troubleshooting (Udemy); Course: Industrial Maintenance (Coursera); Doc: Reliability Web; YouTube: Jim Palam
Mechatronics,Book: Mechatronics: Electronic Control Systems; Course: Introduction to Mechatronics (edX); Course: Mechatronics and Robotics (Udemy); Doc: IEEE Robotics & Automation Society; YouTube: The Engineering Mindset
Mechatronics Design,Book: Mechatronics System Design; Course: Arduino for Mechatronics (Udemy); Course: Sensors and Actuators (Coursera); Doc: National Instruments Mechatronics; YouTube: GreatScott!
Medical Imaging,Book: Principles of Medical Imaging; Course: Medical Image Processing (Coursera); Course: MRI and CT Physics (Udemy); Doc: Radiopaedia; YouTube: Asianometry
Medical Sensors,Book: Medical Sensors and Devices; Course: Biomedical Sensors (Coursera); Course: Wearable Healthcare Tech (Udemy); Doc: IEEE Sensors Council; YouTube: SparkFun
Memory Optimization,Book: Computer Architecture (Hennessy/Patterson); Course: C++ Memory Management (Udemy); Course: Operating Systems (Coursera); Doc: Microsoft Learn: Memory Management; YouTube: The Cherno
Merchandising,Book: Retail Merchandising; Course: Visual Merchandising (Udemy); Course: Retail Management (Coursera); Doc: National Retail Federation (NRF); YouTube: Retail Dogma
Metadata Standards,Book: Metadata (Jeffrey Pomerantz); Course: Digital Curation and Metadata (Coursera); Course: Library and Information Science (Udemy); Doc: Dublin Core Metadata Initiative; YouTube: National Archives
Metallography,Book: Metallography: Principles and Practice; Course: Materials Science (Coursera); Course: Metallurgical Analysis (Udemy); Doc: ASM International; YouTube: Metallurgy Data
Metallurgy,Book: Physical Metallurgy (Haasen); Course: Introduction to Metallurgy (Udemy); Course: Metals and Alloys (Coursera); Doc: ASM International Handbooks; YouTube: The Efficient Engineer
Metrology,Book: The Metrology Handbook; Course: Precision Measurement (Udemy); Course: Dimensional Metrology (Coursera); Doc: NIST Metrology; YouTube: Mitutoyo America
Micro-Mechanics,Book: Micromechanics of Defects in Solids; Course: Mechanics of Materials (Coursera); Course: Micro-scale Engineering (edX); Doc: Sandia National Labs - MEMS; YouTube: Asianometry
Microchip Materials,Book: The Science and Engineering of Microelectronic Fabrication; Course: Semiconductor Manufacturing (Coursera); Course: Nanotechnology (Udemy); Doc: Intel Technology Blogs; YouTube: Asianometry
Microcontroller Programming,Book: Making Embedded Systems; Course: Embedded Software and Hardware (Coursera); Course: Microcontroller Masterclass (Udemy); Doc: Arduino / STM32 Documentation; YouTube: Low Level Learning
Microfabrication,Book: Fundamentals of Microfabrication (Madou); Course: Nano and Microfabrication (Coursera); Course: Cleanroom Processing (edX); Doc: Stanford Nanofabrication Facility; YouTube: Asianometry
Micron-level Engineering,Book: Precision Machine Design; Course: Metrology and Precision Engineering (Coursera); Course: Advanced Manufacturing (Udemy); Doc: NIST Micron-scale Measurements; YouTube: Titans of CNC
Microprocessors,Book: Digital Logic and Microprocessor Design; Course: Computer Architecture (Coursera); Course: Microprocessor Programming (Udemy); Doc: Intel / ARM Technical Manuals; YouTube: Computerphile
Microservices Architecture,Book: Building Microservices (Sam Newman); Course: Microservices Specialization (Coursera); Course: Microservices with Spring Boot (Udemy); Doc: AWS Microservices Whitepaper; YouTube: TechWorld with Nana
Microsoft Excel,Book: Excel Bible; Course: Excel Skills for Business (Coursera); Course: Microsoft Excel Masterclass (Udemy); Doc: Microsoft Excel Help; YouTube: Leila Gharani
Middleware,Book: Middleware and Enterprise Integration; Course: Message Queuing and Middleware (Udemy); Course: Cloud Computing (Coursera); Doc: Red Hat Middleware Docs; YouTube: Hussein Nasser
Middleware Configuration,Book: Enterprise Application Integration; Course: WebSphere/JBoss Configuration (Udemy); Course: Systems Architecture (Coursera); Doc: Oracle Fusion Middleware Documentation; YouTube: TechTarget
Mobile Dev,Book: iOS Programming / Android Programming; Course: The Complete Mobile App Development Bootcamp (Udemy); Course: Mobile Development (Coursera); Doc: Apple Developer / Android Developers; YouTube: The Net Ninja
Mobile UI/UX,Book: Don't Make Me Think; Course: UI/UX Design Specialization (Coursera); Course: Mobile User Experience (Udemy); Doc: Material Design / Human Interface Guidelines; YouTube: The Futur
Molecular Biology,Book: Molecular Biology of the Cell; Course: Introduction to Molecular Biology (edX); Course: Molecular Biology and Genetics (Coursera); Doc: Nature Education: Scitable; YouTube: Khan Academy
Multimedia Content,Book: Multimedia: Making It Work; Course: Graphic Design Specialization (Coursera); Course: Video Production (Udemy); Doc: Adobe Creative Cloud Tutorials; YouTube: Peter McKinnon
NLP,Book: Speech and Language Processing (Jurafsky); Course: NLP Specialization (DeepLearning.ai); Course: NLP with Transformers (Udemy); Doc: Hugging Face Documentation; YouTube: Stanford NLP
Nanomaterials,Book: Introduction to Nanomaterials; Course: Nanotechnology & Nanosensors (Coursera); Course: Nanomaterials Science (edX); Doc: Nature Nanotechnology; YouTube: Science Channel
Nanotechnology,Book: Nanotechnology: A Gentle Introduction; Course: Understanding Nanotechnology (Coursera); Course: Nano-scale Engineering (edX); Doc: National Nanotechnology Initiative; YouTube: Kurzgesagt - Nanotechnology
Negotiation,Book: Never Split the Difference (Chris Voss); Course: Successful Negotiation (Coursera); Course: Negotiation Mastery (Udemy); Doc: Harvard Program on Negotiation; YouTube: Chris Voss - MasterClass
Network Expansion,Book: Computer Networks (Tanenbaum); Course: Network Engineering (Coursera); Course: Enterprise Network Design (Udemy); Doc: Cisco Design Guides; YouTube: NetworkChuck
Network Monitoring,Book: Network Management Principles; Course: IT Infrastructure Monitoring (Udemy); Course: Network Services (Coursera); Doc: Nagios / Zabbix Documentation; YouTube: Lawrence Systems
Network Protocols,Book: TCP/IP Illustrated; Course: Computer Communications (Coursera); Course: Introduction to Networking (Udemy); Doc: IETF RFCs; YouTube: Computerphile
Network Security,Book: Network Security Essentials; Course: CompTIA Security+ (Udemy); Course: Cybersecurity Specialization (Coursera); Doc: NIST Network Security; YouTube: Simply Cyber
Network Topology Design,Book: Top-Down Network Design; Course: Cisco CCNA (Udemy); Course: Network Architecture (Coursera); Doc: Cisco Hierarchical Design; YouTube: Jeremy's IT Lab
Noise Control,Book: Noise and Vibration Control Engineering; Course: Acoustics (Coursera); Course: Noise Control Design (Udemy); Doc: OSHA Noise Standards; YouTube: Acoustic Fields
Non-Destructive Testing (NDT),Book: Introduction to NDT; Course: NDT Methods (Udemy); Course: Quality Control in Manufacturing (Coursera); Doc: ASNT (American Society for NDT); YouTube: NDT Video
Normalization,Book: Database Design; Course: Relational Database Design (Coursera); Course: SQL Normalization (Udemy); Doc: Oracle Database Concepts; YouTube: Dr. Daniel Soper
Nuclear Physics,Book: Introductory Nuclear Physics (Krane); Course: Nuclear Engineering (Coursera); Course: Quantum Mechanics (edX); Doc: IAEA Publications; YouTube: ScienceTime
OSHA Regulations,Book: OSHA Standards for General Industry; Course: OSHA 10/30 Hour Training (Udemy); Course: Workplace Safety (Coursera); Doc: OSHA.gov; YouTube: Safety Training
Object-Oriented Programming,Book: Design Patterns (GoF); Course: Java/C++ OOP (Coursera); Course: Object Oriented Programming (Udemy); Doc: Refactoring.Guru; YouTube: Derek Banas
Offline Data Sync,Book: Designing Data-Intensive Applications; Course: Mobile App Architecture (Udemy); Course: Cloud Data Sync (Coursera); Doc: Firebase Offline Capabilities; YouTube: Hussein Nasser
Offshore Logistics,Book: Offshore Logistics and Supply Chain; Course: Marine Engineering (Coursera); Course: Offshore Project Management (Udemy); Doc: Maritime Administration (MARAD); YouTube: Energy 101
On-site Setup,Book: Event Management and Production; Course: Technical Support Fundamentals (Coursera); Course: Field Engineering (Udemy); Doc: Microsoft Deployment Toolkit; YouTube: Eli the Computer Guy
On-site Testing,Book: Software Testing in the Real World; Course: Hardware Testing (Udemy); Course: Field Testing and Validation (Coursera); Doc: ISO 17025 Standards; YouTube: Engineering Mindset
Online Assessment,Book: Essentials of Educational Measurement; Course: Learning Analytics (Coursera); Course: Designing Online Assessments (Udemy); Doc: Google Classroom Help; YouTube: Canvas LMS Guides
OpenCV,Book: Learning OpenCV 4; Course: Computer Vision with OpenCV (Udemy); Course: Image Processing (Coursera); Doc: OpenCV.org Docs; YouTube: PyImageSearch
Operational Auditing,Book: Sawyer's Internal Auditing; Course: Internal Auditing (Coursera); Course: Operational Audits (Udemy); Doc: IIA Standards; YouTube: Audit Guy
Operational Efficiency,Book: The Toyota Way; Course: Operations Management (Coursera); Course: Lean Six Sigma (Udemy); Doc: Lean Enterprise Institute; YouTube: Gemba Academy
Operational Safety,Book: Operational Safety Management; Course: HSE Management (Udemy); Course: Safety in Operations (Coursera); Doc: ILO Occupational Safety; YouTube: Safety First
Operations Research,Book: Introduction to Operations Research (Hillier); Course: Operations Research Specialization (Coursera); Course: Linear Programming (Udemy); Doc: INFORMS Resources; YouTube: The Engineering Mindset
Optical Alignment,Book: Optomechanical Design; Course: Optics and Photonics (Coursera); Course: Optical Alignment Techniques (Udemy); Doc: Thorlabs Technical Guides; YouTube: Photonics Lab
Optical Engineering,Book: Modern Optical Engineering (Smith); Course: Introduction to Optics (edX); Course: Lens Design (Udemy); Doc: SPIE Digital Library; YouTube: Science Asylum
P&C Systems,Book: Power System Protection and Switchgear; Course: Protection and Control (Udemy); Course: Electrical Power Systems (Coursera); Doc: SEL Technical Library; YouTube: Engineering Mindset
PCB Design,Book: The Art of Electronics; Course: Altium Designer Masterclass (Udemy); Course: PCB Design for Beginners (Coursera); Doc: KiCad Documentation; YouTube: Robert Feranec
PL/SQL,Book: Oracle PL/SQL Programming; Course: Oracle PL/SQL Masterclass (Udemy); Course: SQL for Data Science (Coursera); Doc: Oracle PL/SQL Docs; YouTube: Programming with Mosh
PLC Programming,Book: Programmable Logic Controllers; Course: PLC Programming from Scratch (Udemy); Course: Industrial Automation (Coursera); Doc: Rockwell Automation Help; YouTube: RealPars
PLC/SCADA,Book: SCADA: Supervisory Control and Data Acquisition; Course: PLC and SCADA (Udemy); Course: Industrial Control Systems (Coursera); Doc: Inductive Automation Ignition Docs; YouTube: RealPars
PV System Design,Book: Photovoltaic Systems Engineering; Course: Solar Energy Photovoltaic Systems (edX); Course: PV System Design (Udemy); Doc: NREL PVWatts; YouTube: Solar Energy International
PVSyst,Book: Solar Energy Engineering; Course: PVSyst Professional Course (Udemy); Course: Solar Simulation (Coursera); Doc: PVSyst Official Help; YouTube: Solar Design School
Packaging Durability,Book: Fundamentals of Packaging Technology; Course: Package Engineering (Udemy); Course: Supply Chain Packaging (Coursera); Doc: ISTA Testing Standards; YouTube: The Packaging School
Patient Safety Standards,Book: Internal Medicine: Patient Safety; Course: Patient Safety Specialization (Coursera); Course: Healthcare Quality (Udemy); Doc: The Joint Commission; YouTube: WHO Patient Safety
Penetration Testing,Book: The Penetration Tester's Guide; Course: Ethical Hacking (Udemy); Course: Cybersecurity Professional (Coursera); Doc: OWASP Penetration Testing; YouTube: The Cyber Mentor
Performance Auditing,Book: Performance Auditing: A Measurement Approach; Course: Auditing for Performance (Udemy); Course: Financial Auditing (Coursera); Doc: GAO Government Auditing Standards; YouTube: Accounting Stuff
Performance Benchmarking,Book: Systems Performance (Brendan Gregg); Course: Software Performance (Udemy); Course: Performance Engineering (Coursera); Doc: SPEC Benchmarks; YouTube: Cloud Performance
Performance Tuning,Book: SQL Performance Explained; Course: Database Performance Tuning (Udemy); Course: System Optimization (Coursera); Doc: PostgreSQL Performance Tuning; YouTube: Hussein Nasser
Petrochemical Engineering,Book: Petrochemical Processes; Course: Petroleum Engineering (Coursera); Course: Chemical Engineering (edX); Doc: American Petroleum Institute (API); YouTube: Energy 101
Photonic Integration,Book: Silicon Photonics Design; Course: Photonic Integrated Circuits (edX); Course: Optical Communications (Coursera); Doc: Photonics Society; YouTube: Asianometry
Photonics,Book: Fundamentals of Photonics (Saleh); Course: Photonics Specialization (Coursera); Course: Fiber Optics (Udemy); Doc: IEEE Photonics Society; YouTube: Science Asylum
Physics Simulation,Book: Physics for Game Developers; Course: Simulating Physics with C++ (Udemy); Course: Computational Physics (Coursera); Doc: Unity Physics Engine; YouTube: Two Minute Papers
Physiology,Book: Guyton and Hall Textbook of Medical Physiology; Course: Introductory Human Physiology (Coursera); Course: Anatomy & Physiology (Udemy); Doc: NIH Physiology Resources; YouTube: Khan Academy Medicine
Pipeline Design,Book: Piping and Pipeline Engineering; Course: Pipeline Engineering (Udemy); Course: Oil and Gas Logistics (Coursera); Doc: ASME B31.3 Standards; YouTube: Engineering Mindset
Pipeline Safety,Book: Pipeline Integrity Handbook; Course: Oil & Gas Safety (Udemy); Course: Safety in Process Industries (Coursera); Doc: PHMSA Regulations; YouTube: Safety First
Pollution Control,Book: Air Pollution Control Engineering; Course: Water Management and Policy (Coursera); Course: Environmental Engineering (Udemy); Doc: EPA Pollution Prevention; YouTube: Sustainability Illustrated
Polymer Chemistry,Book: Principles of Polymerization; Course: Polymer Science (Coursera); Course: Introduction to Polymers (Udemy); Doc: American Chemical Society (ACS); YouTube: The Efficient Engineer
Post-Production,Book: The Lean Post-Production Guide; Course: Video Editing with Premiere Pro (Udemy); Course: Film Post-Production (Coursera); Doc: Adobe Post-Production Workflow; YouTube: Film Riot
Power Conversion,"Book: Power Electronics: Converters, Applications; Course: Power Conversion Specialization (Coursera); Course: DC-DC Converter Design (Udemy); Doc: TI Power Management; YouTube: KatKimShow"
Power Generation,Book: Power Plant Engineering; Course: Electric Power Systems (Coursera); Course: Renewable Energy Systems (Udemy); Doc: IEEE Power & Energy Society; YouTube: Engineering Mindset
Power Management,Book: Power Management Techniques; Course: Embedded Systems Power Management (Udemy); Course: Sustainability in Power (Coursera); Doc: Qualcomm Power Management Docs; YouTube: GreatScott!
Power Optimization,Book: Energy Efficient Servers; Course: Power Optimization in ICs (Coursera); Course: Green Computing (Udemy); Doc: Intel Power Optimization Guides; YouTube: Asianometry
Power Plant Management,Book: Modern Power Plant Management; Course: Power Plant Operations (Udemy); Course: Energy Industry Management (Coursera); Doc: DOE Power Plant Reports; YouTube: Energy 101
Power Systems,Book: Power System Analysis and Design; Course: Electric Power Systems (Coursera); Course: Electrical Power Engineering (Udemy); Doc: IEEE Power Systems; YouTube: Practical Engineering
Power Transmission,Book: Electric Power Transmission System Engineering; Course: Smart Grid (Coursera); Course: Power Transmission Lines (Udemy); Doc: Grid Modernization Index; YouTube: Engineering Mindset
Powertrain Engineering,Book: Automotive Powertrain Science; Course: Hybrid & Electric Vehicles (Coursera); Course: Engine Mechanics (Udemy); Doc: SAE Powertrain Research; YouTube: Engineering Explained
Precision Engineering,Book: Precision Machine Design; Course: Precision Engineering (Coursera); Course: Advanced Manufacturing (Udemy); Doc: NIST Precision Manufacturing; YouTube: Titans of CNC
Precision Farming,Book: Precision Agriculture for Sustainability; Course: Agriculture Technology (Coursera); Course: Smart Farming (Udemy); Doc: USDA Precision Ag; YouTube: Future Farming
